full_name,country,active_years,competitions,url
Savickas Zydrunas Big Z,LTU,1996-2025,151,https://www.strongmanarchives.com/viewAthlete.php?id=171
Radzikowski Krzysztof,POL,2005-2019,110,https://www.strongmanarchives.com/viewAthlete.php?id=216
Felix Mark,GBR,2004-2025,107,https://www.strongmanarchives.com/viewAthlete.php?id=58
Katona Ervin,SRB,2003-2015,100,https://www.strongmanarchives.com/viewAthlete.php?id=262
Hollands Terry Big Tel,GBR,2005-2021,89,https://www.strongmanarchives.com/viewAthlete.php?id=66
Zageris Dainis,LAT,2009-2022,87,https://www.strongmanarchives.com/viewAthlete.php?id=239
Ilin Kostiantyn,UKR,2007-2020,83,https://www.strongmanarchives.com/viewAthlete.php?id=279
Smaukstelis Aivars,LAT,2014-2025,82,https://www.strongmanarchives.com/viewAthlete.php?id=197
Golier Branislav,SVK,2002-2018,74,https://www.strongmanarchives.com/viewAthlete.php?id=893
Caron Jean-François,CAN,2007-2025,73,https://www.strongmanarchives.com/viewAthlete.php?id=69
Bjornsson Hafthor Julius The Mountain,ISL,2010-2025,71,https://www.strongmanarchives.com/viewAthlete.php?id=176
Belsak Matjaz,SLO,2011-2025,71,https://www.strongmanarchives.com/viewAthlete.php?id=206
Moonen Alex,NED,2009-2019,71,https://www.strongmanarchives.com/viewAthlete.php?id=255
Zaloudek Jiri,CZE,2001-2023,68,https://www.strongmanarchives.com/viewAthlete.php?id=529
Wildauer Martin,AUT,2008-2017,66,https://www.strongmanarchives.com/viewAthlete.php?id=250
Shaw Brian,USA,2007-2023,65,https://www.strongmanarchives.com/viewAthlete.php?id=71
Karlsen Svend,NOR,1996-2006,64,https://www.strongmanarchives.com/viewAthlete.php?id=9
Samuelsson Magnus,SWE,1995-2008,63,https://www.strongmanarchives.com/viewAthlete.php?id=10
Pudzianowski Mariusz The Dominator,POL,2000-2009,61,https://www.strongmanarchives.com/viewAthlete.php?id=4
Mitt Tarmo,EST,2001-2019,61,https://www.strongmanarchives.com/viewAthlete.php?id=19
Heinla Rauno,EST,2009-2025,58,https://www.strongmanarchives.com/viewAthlete.php?id=265
Blekaitis Vidas,LTU,2000-2019,56,https://www.strongmanarchives.com/viewAthlete.php?id=271
Nami Lauri,EST,2011-2017,56,https://www.strongmanarchives.com/viewAthlete.php?id=223
Hryhorovskyy Ivan Carpathian bear,UKR,2004-2025,56,https://www.strongmanarchives.com/viewAthlete.php?id=2801
Shahlaei Laurence Big Loz,GBR,2007-2021,55,https://www.strongmanarchives.com/viewAthlete.php?id=73
Toots Ervin,EST,2019-2025,54,https://www.strongmanarchives.com/viewAthlete.php?id=196
Novikov Oleksii,UKR,2016-2025,53,https://www.strongmanarchives.com/viewAthlete.php?id=190
Kazelniks Agris,LAT,2003-2012,53,https://www.strongmanarchives.com/viewAthlete.php?id=282
Hams Jarno,NED,1999-2015,52,https://www.strongmanarchives.com/viewAthlete.php?id=311
Torro Mika,FIN,2017-2025,52,https://www.strongmanarchives.com/viewAthlete.php?id=684
Kieliszkowski Mateusz,POL,2014-2025,51,https://www.strongmanarchives.com/viewAthlete.php?id=175
Ortmayer Travis Texas Stoneman,USA,2005-2023,51,https://www.strongmanarchives.com/viewAthlete.php?id=12
Koklyaev Mikhail,RUS,2005-2014,50,https://www.strongmanarchives.com/viewAthlete.php?id=256
Virtanen Janne,FIN,1998-2009,50,https://www.strongmanarchives.com/viewAthlete.php?id=11
Petrik Igor,SVK,2004-2018,49,https://www.strongmanarchives.com/viewAthlete.php?id=881
