athlete_name,date,contest,contest_type,division,location,placing,athlete_url
Savickas Zydrunas Big Z,2018-05-06,2018 WSM Final,World's Strongest Man,Open,"Manila, Philippines",10 of 10,https://www.strongmanarchives.com/viewAthlete.php?id=171
Savickas Zydrunas Big Z,2017-05-28,2017 WSM Final,World's Strongest Man,Open,"Gaborone, Botswana",9 of 10,https://www.strongmanarchives.com/viewAthlete.php?id=171
Savickas Zydrunas Big Z,2015-04-26,2015 WSM Final,World's Strongest Man,Open,"Putrajaya, Malaysia",2 of 10,https://www.strongmanarchives.com/viewAthlete.php?id=171
Savickas Zydrunas Big Z,2014-03-29,2014 WSM Final,World's Strongest Man,Open,"Los Angeles, California",1 of 12,https://www.strongmanarchives.com/viewAthlete.php?id=171
Savickas Zydrunas Big Z,2013-08-24,2013 WSM Final,World's Strongest Man,Open,"Sanya, China",2 of 10,https://www.strongmanarchives.com/viewAthlete.php?id=171
Savickas Zydrunas Big Z,2012-10-01,2012 WSM Final,World's Strongest Man,Open,"Los Angeles, California",1 of 10,https://www.strongmanarchives.com/viewAthlete.php?id=171
Savickas Zydrunas Big Z,2011-09-22,2011 WSM Final,World's Strongest Man,Open,"Wingate, North Carolina",2 of 10,https://www.strongmanarchives.com/viewAthlete.php?id=171
Savickas Zydrunas Big Z,2010-09-22,2010 WSM Final,World's Strongest Man,Open,"Sun City, South Africa",1 of 10,https://www.strongmanarchives.com/viewAthlete.php?id=171
Savickas Zydrunas Big Z,2009-10-03,2009 WSM Final,World's Strongest Man,Open,"Valletta, Malta",1 of 10,https://www.strongmanarchives.com/viewAthlete.php?id=171
Savickas Zydrunas Big Z,2015-05-30,2015 Força Bruta,Força Bruta,Open,"Rio de Janeiro, Brazil",3 of 5,https://www.strongmanarchives.com/viewAthlete.php?id=171
Savickas Zydrunas Big Z,2014-04-25,2014 Força Bruta,Força Bruta,Open,"Rio de Janeiro, Brazil",1 of 9,https://www.strongmanarchives.com/viewAthlete.php?id=171
Savickas Zydrunas Big Z,2004-10-03,2004 WSM Final,World's Strongest Man,Open,"Nassau, Bahamas",2 of 6,https://www.strongmanarchives.com/viewAthlete.php?id=171
Savickas Zydrunas Big Z,1998-10-18,1998 WSM Group 7,World's Strongest Man,Open,"Tangier, Morocco",3 of 4,https://www.strongmanarchives.com/viewAthlete.php?id=171
Savickas Zydrunas Big Z,2009-06-28,2009 Fortissimus,Fortissimus,Open,"Montmagny, Canada",1 of 14,https://www.strongmanarchives.com/viewAthlete.php?id=171
Savickas Zydrunas Big Z,2008-06-29,2008 Fortissimus,Fortissimus,Open,"Notre-Dame-du-Rosaire, Canada",2 of 13,https://www.strongmanarchives.com/viewAthlete.php?id=171
Savickas Zydrunas Big Z,2003-09-28,2003 WSM Final,World's Strongest Man,Open,"Victoria Falls, Zambia",2 of 10,https://www.strongmanarchives.com/viewAthlete.php?id=171
Savickas Zydrunas Big Z,2018-10-26,2018 WUS Dubai,World's Ultimate Strongman,Open,"Dubai, United Arab Emirates",10 of 12,https://www.strongmanarchives.com/viewAthlete.php?id=171
Savickas Zydrunas Big Z,2002-09-23,2002 WSM Final,World's Strongest Man,Open,"Kuala Lumpur, Malaysia",2 of 10,https://www.strongmanarchives.com/viewAthlete.php?id=171
Savickas Zydrunas Big Z,2000-08-11,2000 WSM Group 5,World's Strongest Man,Open,"Sun City, South Africa",3 of 6,https://www.strongmanarchives.com/viewAthlete.php?id=171
Savickas Zydrunas Big Z,2007-09-15,2007 IFSA Strongman World Championships,IFSA Strongman World Championships,Open,"Geumsan, South Korea",3 of 12,https://www.strongmanarchives.com/viewAthlete.php?id=171
Savickas Zydrunas Big Z,2006-11-25,2006 IFSA Strongman World Championships,IFSA Strongman World Championships,Open,"Reykjavík, Iceland",1 of 12,https://www.strongmanarchives.com/viewAthlete.php?id=171
Savickas Zydrunas Big Z,2005-09-25,2005 IFSA Strongman World Championships,IFSA Strongman World Championships,Open,"Quebec City, Canada",1 of 16,https://www.strongmanarchives.com/viewAthlete.php?id=171
Savickas Zydrunas Big Z,2016-03-05,2016 Arnold Strongman Classic,Arnold Strongman Classic,Open,"Columbus, Ohio",1 of 10,https://www.strongmanarchives.com/viewAthlete.php?id=171
